S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
17,ODISHA,KENDRAPARA,20.553,86.612,0,6.7,-100%,NR,1193.9,767.7,56%,E,EXACT,1.0
18,ODISHA,KEONJHARGARH,21.538,85.704,0.2,11.4,-98%,LD,1250.2,812.3,54%,E,EXACT,1.0
19,ODISHA,KHURDA,20.091,85.515,28.8,9.9,191%,LE,958.2,752.9,27%,E,EXACT,1.0
20,ODISHA,KORAPUT,18.814,82.718,26.1,9.5,174%,LE,792.7,888.6,-11%,N,EXACT,1.0
21,ODISHA,MALKANGIRI,18.259,81.95,12.2,14.5,-16%,N,730.7,929.8,-21%,D,EXACT,1.0
22,ODISHA,MAYURBHANJ,21.896,86.409,4.1,11.3,-64%,LD,1178.7,864.1,36%,E,EXACT,1.0
23,ODISHA,NAWAPARA,20.465,82.577,0,14.9,-100%,NR,918.9,731,26%,E,EXACT,1.0
24,ODISHA,NAWARANGPUR,19.225724,82.549722,31.5,11,187%,LE,672.3,984.8,-32%,D,EXACT,1.0
25,ODISHA,NAYAGARH,20.213,84.998,6.9,10,-31%,D,958.9,758.7,26%,E,EXACT,1.0
26,ODISHA,PURI,19.879,85.726,19.9,9.6,107%,LE,972.4,699.4,39%,E,EXACT,1.0
27,ODISHA,RAYAGADA,19.364,83.512,26.2,10.5,150%,LE,589.2,695.8,-15%,N,EXACT,1.0
28,ODISHA,SAMBALPUR,21.452,84.274,2.3,11.1,-79%,LD,1331.5,936.1,42%,E,EXACT,1.0
29,ODISHA,SONEPUR,20.84622,83.896885,0.3,10.3,-97%,LD,1497.1,872.5,72%,LE,EXACT,1.0
30,ODISHA,SUNDARGARH,22.08,84.559,0.1,11.8,-99%,LD,1120.5,887.2,26%,E,EXACT,1.0
1,JHARKHAND,BOKARO,23.695,85.996,0,9,-100%,NR,494.9,653.1,-24%,D,EXACT,1.0
2,JHARKHAND,CHATRA,24.173,84.887,0,10.8,-100%,NR,444.9,675.7,-34%,D,EXACT,1.0
3,JHARKHAND,DEOGHAR,24.329,86.739,0,9.9,-100%,NR,341,686.2,-50%,D,EXACT,1.0
4,JHARKHAND,DHANBAD,23.827,86.471,0,10.7,-100%,NR,652.8,744.9,-12%,N,EXACT,1.0
5,JHARKHAND,DUMKA,24.319,87.266,0,10,-100%,NR,654.2,725.9,-10%,N,EXACT,1.0
6,JHARKHAND,EAST SINGHBHUM,22.583,86.451,0.5,8.6,-94%,LD,731.5,785.1,-7%,N,EXACT,1.0
7,JHARKHAND,GARHWA,24.104,83.698,,8.8,,ND,361.7,661.6,-45%,D,EXACT,1.0
8,JHARKHAND,GIRIDIH,24.294,86.11,0.2,9.5,-98%,LD,394.5,685.2,-42%,D,EXACT,1.0
9,JHARKHAND,GODDA,24.859,87.308,0,8.8,-100%,NR,428.7,627.7,-32%,D,EXACT,1.0
10,JHARKHAND,GUMLA,23.103,84.532,0,7.9,-100%,NR,553.2,767.1,-28%,D,EXACT,1.0
11,JHARKHAND,HAZARIBAG,24.055,85.419,0,10.6,-100%,NR,519.7,749.2,-31%,D,EXACT,1.0
12,JHARKHAND,JAMTARA,23.976,86.907,0,8.4,-100%,NR,590.8,761.4,-22%,D,EXACT,1.0
13,JHARKHAND,KHUNTI,22.994,85.262,0,8.8,-100%,NR,815.6,790.1,3%,N,EXACT,1.0
14,JHARKHAND,KODERMA,24.499,85.666,0,11.4,-100%,NR,327,622.9,-48%,D,EXACT,1.0
15,JHARKHAND,LATEHAR,23.719,84.442,0,8.7,-100%,NR,748.6,744.3,1%,N,EXACT,1.0
16,JHARKHAND,LOHARDAGA,23.476,84.669,0,7.6,-100%,NR,670.2,719.8,-7%,N,EXACT,1.0
17,JHARKHAND,PAKUR,24.564,87.662,0,11.6,-100%,NR,332.4,819.6,-59%,D,EXACT,1.0
18,JHARKHAND,PALAMU,24.203,84.167,4.9,8.6,-43%,D,419.7,598.9,-30%,D,EXACT,1.0
19,JHARKHAND,RAMGARH,23.635,85.563,0,9.8,-100%,NR,631.6,734.9,-14%,N,EXACT,1.0
20,JHARKHAND,RANCHI,23.329,85.373,0.1,8.9,-99%,LD,698.5,748,-7%,N,EXACT,1.0
21,JHARKHAND,SAHIBGANJ,25.01,87.677,,9,,ND,419.3,813,-48%,D,EXACT,1.0
22,JHARKHAND,SERAIKELA-KHARSAWAN,22.848,85.95,,6.4,,ND,764.8,725.2,5%,N,EXACT,1.0
23,JHARKHAND,SIMDEGA,22.582,84.564,0,12.3,-100%,NR,953.7,946.9,1%,N,EXACT,1.0
