State,District,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category,Source_Page,SNo,Data_Date
JHARKHAND,DHANBAD,17.9,9.6,87.0,LE,327.5,424.3,-23.0,D,8,4,2026-07-22
JHARKHAND,DUMKA,5.9,16.0,-63.0,LD,404.7,440.3,-8.0,N,8,5,2026-07-22
JHARKHAND,EAST SINGHBHUM,3.4,9.1,-63.0,LD,264.5,446.0,-41.0,D,8,6,2026-07-22
JHARKHAND,GARHWA,27.1,10.6,155.0,LE,166.6,349.8,-52.0,D,8,7,2026-07-22
JHARKHAND,GIRIDIH,12.7,11.7,9.0,N,212.2,406.6,-48.0,D,8,8,2026-07-22
JHARKHAND,GODDA,17.8,11.5,55.0,E,197.2,379.1,-48.0,D,8,9,2026-07-22
JHARKHAND,GUMLA,18.1,14.0,30.0,E,299.6,437.7,-32.0,D,8,10,2026-07-22
JHARKHAND,HAZARIBAG,11.2,9.6,17.0,N,280.1,424.3,-34.0,D,8,11,2026-07-22
JHARKHAND,JAMTARA,28.2,14.0,102.0,LE,344.0,454.8,-24.0,D,8,12,2026-07-22
JHARKHAND,KHUNTI,38.6,12.7,204.0,LE,348.5,448.4,-22.0,D,8,13,2026-07-22
JHARKHAND,KODERMA,9.2,9.3,-1.0,N,169.4,363.7,-53.0,D,8,14,2026-07-22
JHARKHAND,LATEHAR,11.0,10.0,10.0,N,303.1,410.2,-26.0,D,8,15,2026-07-22
JHARKHAND,LOHARDAGA,17.5,11.8,48.0,E,293.5,412.5,-29.0,D,8,16,2026-07-22
JHARKHAND,PAKUR,11.1,18.7,-41.0,D,187.2,503.0,-63.0,LD,8,17,2026-07-22
JHARKHAND,PALAMU,11.0,8.2,35.0,E,178.0,316.2,-44.0,D,8,18,2026-07-22
JHARKHAND,RAMGARH,12.6,12.2,3.0,N,283.7,411.2,-31.0,D,8,19,2026-07-22
JHARKHAND,RANCHI,22.8,10.9,109.0,LE,320.7,428.1,-25.0,D,8,20,2026-07-22
JHARKHAND,SAHIBGANJ,0.0,16.9,-100.0,NR,2.1,508.1,-99.0,LD,8,21,2026-07-22
JHARKHAND,SERAIKELA-KHARSAWAN,9.2,11.9,-23.0,D,392.5,409.5,-4.0,N,8,22,2026-07-22
JHARKHAND,SIMDEGA,16.1,18.4,-13.0,N,436.1,537.8,-19.0,N,8,23,2026-07-22
JHARKHAND,WEST SINGHBHUM,38.9,10.7,263.0,LE,336.3,400.8,-16.0,N,8,24,2026-07-22
BIHAR,ARARIA,1.9,14.5,-87.0,LD,480.5,625.4,-23.0,D,8,1,2026-07-22
BIHAR,ARWAL,4.2,3.4,24.0,E,120.4,276.6,-56.0,D,8,2,2026-07-22
BIHAR,AURANGABAD,4.9,7.7,-36.0,D,188.6,338.9,-44.0,D,8,3,2026-07-22
BIHAR,BANKA,5.4,10.0,-46.0,D,159.3,359.7,-56.0,D,9,4,2026-07-22
BIHAR,BEGUSARAI,16.0,7.5,113.0,LE,298.9,404.3,-26.0,D,9,5,2026-07-22
BIHAR,BHABUA,5.0,5.6,-11.0,N,149.1,316.3,-53.0,D,9,6,2026-07-22
BIHAR,BHAGALPUR,13.7,12.6,8.0,N,187.0,405.5,-54.0,D,9,7,2026-07-22
BIHAR,BHOJPUR,2.5,4.6,-45.0,D,154.5,343.9,-55.0,D,9,8,2026-07-22
BIHAR,BUXAR,0.8,5.1,-85.0,LD,206.1,312.9,-34.0,D,9,9,2026-07-22
BIHAR,DARBHANGA,3.0,7.1,-58.0,D,208.9,374.3,-44.0,D,9,10,2026-07-22
BIHAR,EAST CHAMPARAN,1.3,8.8,-86.0,LD,299.3,433.6,-31.0,D,9,11,2026-07-22
BIHAR,GAYA,8.8,6.0,47.0,E,150.2,339.9,-56.0,D,9,12,2026-07-22
BIHAR,GOPALGANJ,0.5,6.0,-91.0,LD,322.8,398.2,-19.0,N,9,13,2026-07-22
BIHAR,JAHANABAD,2.1,4.8,-56.0,D,103.1,340.8,-70.0,LD,9,14,2026-07-22
BIHAR,JAMUI,1.8,9.4,-81.0,LD,174.1,391.4,-56.0,D,9,15,2026-07-22
BIHAR,KATIHAR,11.1,13.6,-18.0,N,287.7,478.5,-40.0,D,9,16,2026-07-22
BIHAR,KHAGARIA,14.4,10.7,35.0,E,352.2,419.2,-16.0,N,9,17,2026-07-22
BIHAR,KISHANGANJ,3.6,16.8,-78.0,LD,659.4,806.0,-18.0,N,9,18,2026-07-22
BIHAR,LAKHISARAI,5.4,10.5,-48.0,D,336.5,367.0,-8.0,N,9,19,2026-07-22
BIHAR,MADHEPURA,10.1,10.4,-3.0,N,282.0,448.4,-37.0,D,9,20,2026-07-22
BIHAR,MADHUBANI,0.2,10.6,-98.0,LD,285.0,419.2,-32.0,D,9,21,2026-07-22
BIHAR,MUNGER,15.0,9.0,67.0,LE,279.3,418.4,-33.0,D,9,22,2026-07-22
BIHAR,MUZAFFARPUR,1.2,5.8,-79.0,LD,204.6,404.9,-49.0,D,9,23,2026-07-22
BIHAR,NALANDA,9.1,7.4,22.0,E,180.4,344.0,-48.0,D,9,24,2026-07-22
BIHAR,NAWADA,4.9,6.0,-19.0,N,171.6,341.0,-50.0,D,9,25,2026-07-22
BIHAR,PATNA,2.8,6.6,-57.0,D,186.8,366.8,-49.0,D,9,26,2026-07-22
BIHAR,PURNEA,2.1,14.3,-85.0,LD,369.0,638.5,-42.0,D,9,27,2026-07-22
BIHAR,ROHTAS,3.9,7.5,-48.0,D,166.5,323.8,-49.0,D,9,28,2026-07-22
BIHAR,SAHARSA,1.5,9.9,-84.0,LD,228.8,472.9,-52.0,D,9,29,2026-07-22
BIHAR,SAMASTIPUR,3.4,6.4,-47.0,D,201.5,391.0,-48.0,D,10,30,2026-07-22
BIHAR,SARAN,1.0,6.2,-84.0,LD,210.0,363.8,-42.0,D,10,31,2026-07-22
BIHAR,SHEIKHPURA,9.2,7.9,17.0,N,214.6,351.1,-39.0,D,10,32,2026-07-22
BIHAR,SHEOHAR,9.4,9.3,2.0,N,253.9,449.3,-43.0,D,10,33,2026-07-22
BIHAR,SITAMARHI,0.5,10.1,-95.0,LD,190.2,446.5,-57.0,D,10,34,2026-07-22
BIHAR,SIWAN,0.6,4.1,-85.0,LD,374.0,359.8,4.0,N,10,35,2026-07-22
BIHAR,SUPAUL,1.2,9.4,-88.0,LD,418.5,493.4,-15.0,N,10,36,2026-07-22
BIHAR,VAISHALI,4.1,8.2,-50.0,D,237.8,368.6,-35.0,D,10,37,2026-07-22
BIHAR,WEST CHAMPARAN,0.6,10.7,-94.0,LD,403.1,505.6,-20.0,D,10,38,2026-07-22
WEST UTTAR PRADESH,AGRA,6.5,6.5,-1.0,N,202.4,182.5,11.0,N,10,1,2026-07-22
WEST UTTAR PRADESH,ALIGARH,5.8,6.7,-14.0,N,125.6,200.2,-37.0,D,10,2,2026-07-22
WEST UTTAR PRADESH,AMROHA,3.0,6.8,-56.0,D,124.0,303.7,-59.0,D,10,3,2026-07-22
WEST UTTAR PRADESH,AURAIYA,0.0,5.6,-100.0,NR,216.4,171.6,26.0,E,10,4,2026-07-22
WEST UTTAR PRADESH,BADAUN,8.8,7.0,25.0,E,309.5,250.0,24.0,E,10,5,2026-07-22
WEST UTTAR PRADESH,BAGHPAT,5.0,8.2,-39.0,D,221.3,186.1,19.0,N,10,6,2026-07-22
WEST UTTAR PRADESH,BAREILLY,9.4,7.1,32.0,E,280.8,296.5,-5.0,N,10,7,2026-07-22
WEST UTTAR PRADESH,BIJNOR,4.0,13.8,-71.0,LD,340.3,335.4,1.0,N,10,8,2026-07-22
WEST UTTAR PRADESH,BULANDSHAHAR,2.7,5.3,-49.0,D,202.7,198.2,2.0,N,10,9,2026-07-22
WEST UTTAR PRADESH,ETAH,1.0,5.2,-81.0,LD,279.4,169.6,65.0,LE,10,10,2026-07-22
WEST UTTAR PRADESH,ETAWAH,0.5,7.5,-93.0,LD,187.8,187.1,0.0,N,10,11,2026-07-22
WEST UTTAR PRADESH,FIROZABAD,6.6,6.1,9.0,N,289.8,204.1,42.0,E,10,12,2026-07-22
WEST UTTAR PRADESH,GAUTAM BUDDHA NAGAR,0.0,7.9,-100.0,NR,180.4,170.2,6.0,N,10,13,2026-07-22
WEST UTTAR PRADESH,GHAZIABAD,1.0,7.9,-87.0,LD,67.8,171.0,-60.0,LD,10,14,2026-07-22
