State,District,Lat,Lon,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category
GUJARAT,BHAVNAGAR,21.585,71.913,10.6,5.2,104.0,LE,256.9,255.0,1.0,N
GUJARAT,BOTAD,22.117,71.699,4.8,6.5,-27.0,D,166.3,229.8,-28.0,D
GUJARAT,CHHOTA UDEPUR,22.219,73.873,2.0,10.8,-81.0,LD,149.6,363.2,-59.0,D
GUJARAT,DAHOD,22.862,74.113,1.7,5.8,-71.0,LD,101.9,268.6,-62.0,LD
GUJARAT,DANGS,20.804,73.701,149.8,20.4,634.0,LE,1110.8,886.5,25.0,E
GUJARAT,DEVBHOOMI DWARKA,22.124,69.464,2.0,3.7,-46.0,D,11.9,255.5,-95.0,LD
GUJARAT,GANDHINAGAR,23.255,72.695,0.3,8.2,-96.0,LD,113.7,273.7,-58.0,D
GUJARAT,GIR SOMNATH,20.966,70.776,3.8,13.5,-72.0,LD,427.0,449.7,-5.0,N
GUJARAT,JAMNAGAR,22.333,70.207,2.8,6.6,-57.0,D,77.2,276.6,-72.0,LD
GUJARAT,JUNAGADH,21.372,70.412,8.9,14.3,-38.0,D,495.4,435.3,14.0,N
GUJARAT,KHEDA,22.837,72.952,2.3,8.0,-71.0,LD,172.8,288.7,-40.0,D
GUJARAT,KUTCH,23.646,69.908,1.2,3.8,-68.0,LD,20.1,146.4,-86.0,LD
GUJARAT,MAHISAGAR,23.188,73.647,0.0,7.0,-100.0,NR,226.6,276.1,-18.0,N
GUJARAT,MEHSANA,23.611,72.466,0.4,5.7,-94.0,LD,139.3,251.6,-45.0,D
GUJARAT,MORBI,22.83,70.917,15.4,8.1,90.0,LE,93.8,229.3,-59.0,D
GUJARAT,NARMADA,21.737,73.645,12.8,11.1,16.0,N,235.1,390.9,-40.0,D
GUJARAT,NAVSARI,20.816,73.092,160.5,24.8,547.0,LE,1256.1,819.7,53.0,E
GUJARAT,PANCHMAHAL,22.72,73.626,1.6,10.4,-85.0,LD,286.7,323.0,-11.0,N
GUJARAT,PATAN,23.77,71.758,0.3,4.6,-93.0,LD,116.3,187.5,-38.0,D
GUJARAT,PORBANDAR,21.655,69.777,7.3,7.2,1.0,N,118.3,328.3,-64.0,LD
GUJARAT,RAJKOT,22.021,70.744,7.6,8.9,-15.0,N,159.9,281.6,-43.0,D
GUJARAT,SABARKANTHA,23.807,73.033,3.1,8.8,-65.0,LD,117.0,300.9,-61.0,LD
GUJARAT,SURAT,21.267,73.075,76.7,19.8,287.0,LE,812.1,591.9,37.0,E
GUJARAT,SURENDRANAGAR,22.764,71.593,5.0,7.0,-28.0,D,136.2,212.1,-36.0,D
GUJARAT,TAPI,21.191,73.627,71.1,21.8,226.0,LE,623.9,577.5,8.0,N
GUJARAT,VADODARA,22.248,73.242,16.4,10.8,51.0,E,187.2,343.3,-45.0,D
GUJARAT,VALSAD,20.418,73.119,227.2,26.4,761.0,LE,1291.4,947.0,36.0,E
HARYANA,AMBALA,30.326,76.936,1.7,11.5,-85.0,LD,137.4,327.1,-58.0,D
HARYANA,BHIWANI,28.778,75.89,16.3,6.3,159.0,LE,102.8,116.1,-11.0,N
HARYANA,CHARKHI DADRI,28.579,76.161,39.0,4.0,875.0,LE,167.3,149.3,12.0,N
HARYANA,FARIDABAD,28.348,77.347,6.1,5.3,16.0,N,269.6,175.2,54.0,E
HARYANA,FATEHABAD,29.569,75.577,0.3,5.6,-95.0,LD,88.0,104.5,-16.0,N
HARYANA,GURGAON,28.369,76.94,14.0,8.0,75.0,LE,158.1,177.6,-11.0,N
HARYANA,HISAR,29.212,75.822,5.3,7.9,-33.0,D,83.5,120.6,-31.0,D
HARYANA,JHAJJAR,28.605,76.652,15.4,4.3,258.0,LE,107.5,139.6,-23.0,D
HARYANA,JIND,29.435,76.306,0.0,4.5,-100.0,NR,58.4,158.4,-63.0,LD
HARYANA,KAITHAL,29.812,76.416,0.8,7.7,-89.0,LD,81.3,142.8,-43.0,D
HARYANA,KARNAL,29.688,76.897,2.9,7.9,-64.0,LD,189.0,214.9,-12.0,N
HARYANA,KURUKSHETRA,30.038,76.783,2.6,8.0,-67.0,LD,180.0,164.5,9.0,N
HARYANA,MAHENDRAGARH,28.171,76.138,31.4,6.4,391.0,LE,168.9,162.3,4.0,N
HARYANA,NUH,27.985,77.049,12.7,6.2,105.0,LE,110.4,154.4,-28.0,D
HARYANA,PALWAL,28.06,77.332,23.9,5.1,369.0,LE,168.0,130.1,29.0,E
HARYANA,PANCHKULA,30.681,76.976,3.2,8.2,-61.0,LD,158.8,302.8,-48.0,D
HARYANA,PANIPAT,29.334,76.927,7.8,8.4,-7.0,N,111.8,163.4,-32.0,D
HARYANA,REWARI,28.243,76.537,29.4,6.8,332.0,LE,164.3,161.1,2.0,N
