State,District,Lat,Lon
NAGALAND,ZUNHEBOTO,26.003,94.486
ODISHA,ANGUL,20.987,84.906
ODISHA,BALANGIR,20.589,83.172
ODISHA,BALASORE,21.492,86.914
ODISHA,BARGARH,21.219,83.349
ODISHA,BHADRAK,20.983,86.625
ODISHA,BOUDH,20.644,84.173
ODISHA,CUTTACK,20.453,85.697
ODISHA,DEOGARH,21.537,84.733
ODISHA,DHENKANAL,20.827,85.524
ODISHA,GAJAPATI,19.186,84.161
ODISHA,GANJAM,19.625,84.673
ODISHA,JAGATSINGHPUR,20.219,86.336
ODISHA,JAJPUR,20.856,86.149
ODISHA,JHARSUGUDA,21.806,83.948
ODISHA,KALAHANDI,19.868,83.108
ODISHA,KANDHAMAL,20.128,84.046
ODISHA,KENDRAPARA,20.553,86.612
ODISHA,KEONJHARGARH,21.538,85.704
ODISHA,KHURDA,20.091,85.515
ODISHA,KORAPUT,18.814,82.718
ODISHA,MALKANGIRI,18.259,81.95
ODISHA,MAYURBHANJ,21.896,86.409
ODISHA,NAWAPARA,20.465,82.577
ODISHA,NAWARANGPUR,19.225724,82.549722
ODISHA,NAYAGARH,20.213,84.998
ODISHA,PURI,19.879,85.726
ODISHA,RAYAGADA,19.364,83.512
ODISHA,SAMBALPUR,21.452,84.274
ODISHA,SONEPUR,20.84622,83.896885
ODISHA,SUNDARGARH,22.08,84.559
PUDUCHERRY (UT),KARAIKAL,10.95,79.803
PUDUCHERRY (UT),MAHE,11.726,75.54
PUDUCHERRY (UT),PUDUCHERRY,11.911,79.734
PUDUCHERRY (UT),YANAM,16.722,82.257
PUNJAB,AMRITSAR,31.706,74.899
PUNJAB,BARNALA,30.388,75.499
PUNJAB,BHATINDA,30.184,75.039
PUNJAB,FARIDKOT,30.613,74.779
PUNJAB,FATEHGARH SAHIB,30.642,76.376
PUNJAB,FAZILKA,30.278,74.165
PUNJAB,FEROZEPUR,30.914,74.704
PUNJAB,GURDASPUR,31.917,75.291
PUNJAB,HOSHIARPUR,31.625,75.858
PUNJAB,JALANDHAR,31.213,75.566
PUNJAB,KAPURTHALA,31.354,75.4
PUNJAB,LUDHIANA,30.805,75.833
PUNJAB,MANSA,29.909,75.437
PUNJAB,MOGA,30.763,75.172
PUNJAB,MUKTSAR,30.3,74.538
PUNJAB,PATHANKOT,32.297,75.616
PUNJAB,PATIALA,30.283,76.351
PUNJAB,RUPNAGAR,31.062,76.488
PUNJAB,SANGRUR,30.211,75.869
PUNJAB,SAS NAGAR (MOHALI),30.682,76.739
PUNJAB,SBS NAGAR,31.11,76.154
PUNJAB,TARN TARAN,31.337,74.841
RAJASTHAN,AJMER,26.233,74.772
RAJASTHAN,ALWAR,27.591,76.601
RAJASTHAN,BANSWARA,23.478,74.365
RAJASTHAN,BARAN,24.995,76.748
RAJASTHAN,BARMER,25.735,71.475
RAJASTHAN,BHARATPUR,27.248,77.276
RAJASTHAN,BHILWARA,25.481,74.727
RAJASTHAN,BIKANER,28.178,73.174
RAJASTHAN,BUNDI,25.488,75.792
RAJASTHAN,CHITTORGARH,24.822,74.774
RAJASTHAN,CHURU,28.345,74.696
RAJASTHAN,DAUSA,26.858,76.51
RAJASTHAN,UDAIPUR,24.419,73.689
RAJASTHAN,DUNGARPUR,23.731,73.854
RAJASTHAN,HANUMANGARH,29.266,74.561
RAJASTHAN,JAIPUR,26.977,75.719
RAJASTHAN,JAISALMER,27.075,70.901
RAJASTHAN,JALORE,25.099,72.212
RAJASTHAN,JHALAWAR,24.336,76.194
RAJASTHAN,JHUNJHUNU,28.092,75.55
RAJASTHAN,JODHPUR,26.748,72.785
RAJASTHAN,KARAULI,26.523,76.958
RAJASTHAN,KOTA,25.109,76.104
RAJASTHAN,NAGAUR,27.066,74.175
RAJASTHAN,PALI,25.707,73.519
RAJASTHAN,PRATAPGARH,24.03,74.651
RAJASTHAN,RAJSAMAND,25.228,73.891
RAJASTHAN,SAWAI MADHOPUR,26.218,76.461
RAJASTHAN,SIKAR,27.634,75.288
RAJASTHAN,SIROHI,24.762,72.777
RAJASTHAN,SRI GANGANAGAR,29.397,73.571
RAJASTHAN,TONK,26.148,75.666
UTTAR PRADESH,CHANDAULI,25.142,83.258
SIKKIM,GANGTOK,27.292,88.671
SIKKIM,GYALSHING,27.349,88.175
SIKKIM,MANGAN,27.744,88.528
SIKKIM,NAMCHI,27.287,88.383
SIKKIM,Pakyong,27.23,88.6
SIKKIM,Soreng,27.17,88.25
TAMILNADU,ARIYALUR,11.162,79.242
TAMILNADU,CHENGALPATTU,12.58,80
TAMILNADU,CHENNAI,13.063,80.232
TAMILNADU,COIMBATORE,10.878,76.976
TAMILNADU,CUDDALORE,11.536,79.45
TAMILNADU,DHARMAPURI,12.101,78.193
TAMILNADU,DINDIGUL,10.392,77.82
TAMILNADU,ERODE,11.518,77.413
TAMILNADU,KALLAKURICHI,11.798,79.011
TAMILNADU,KANCHEEPURAM,12.826,79.828
TAMILNADU,KANYAKUMARI,8.307,77.36
TAMILNADU,KARUR,10.844,78.135
TAMILNADU,KRISHNAGIRI,12.491,78.031
TAMILNADU,MADURAI,9.923,78.005
TAMILNADU,MAYILADUTHURAI,11.103,79.655
TAMILNADU,NAGAPATTINAM,10.809,79.729
TAMILNADU,NAMAKKAL,11.319,78.136
TAMILNADU,NILGIRIS,11.456,76.64
TAMILNADU,PERAMBALUR,11.275,78.89
TAMILNADU,PUDUKKOTTAI,10.36,78.879
